,Trait1,Trait2,Trait3,Trait4,Trait5,Trait6,Trait7,Trait8
Species1,1,3,1,2,3,1,5,3
Species2,5,2,1,4,2,1,5,2
Species3,4,2,1,4,3,1,5,1
Species4,5,4,1,4,3,1,5,2
Species5,5,2,2,4,3,1,4,3
Species6,1,2,1,1,3,1,5,3
Species7,2,2,2,4,3,2,4,3
Species8,1,1,1,3,3,1,5,3
Species9,3,2,1,2,2,1,5,3
Species10,5,4,3,2,3,1,6,2
Species11,5,3,1,5,3,1,5,1
Species12,2,2,1,4,3,2,4,3
Species13,3,1,1,3,3,1,5,3
Species14,2,2,1,5,3,2,4,3
Species15,5,2,2,4,3,2,5,3
Species16,2,2,2,4,3,2,5,3
Species17,5,4,1,4,3,1,5,1
Species18,5,2,1,7,2,1,5,1
Species19,2,1,3,2,3,1,6,3
Species20,3,2,2,2,3,3,3,3
Species21,2,2,2,4,3,2,4,3
Species22,1,2,1,2,3,1,5,3
Species23,1,1,3,2,3,1,6,3
Species24,5,4,1,5,3,1,5,1
Species25,5,5,3,4,3,1,6,2
Species26,1,6,1,5,2,1,5,1
Species27,1,2,1,3,2,1,5,3
Species28,5,5,3,4,3,1,6,2
Species29,1,3,1,3,3,1,5,3
Species30,5,5,3,2,3,1,6,3
Species31,5,4,1,6,3,1,5,1
Species32,5,3,1,4,3,1,5,1
Species33,1,2,1,2,3,1,5,3
Species34,1,2,1,2,2,1,5,3
Species35,5,6,3,4,3,1,6,2
Species36,4,3,1,3,2,1,5,2
Species37,1,2,1,3,2,1,5,3
Species38,2,2,1,5,3,2,5,3
Species39,5,2,3,5,1,1,6,2
Species40,5,6,2,4,3,1,6,2
Species41,4,6,3,4,3,1,1,2
Species42,4,2,1,2,3,1,5,2
Species43,1,2,1,2,2,1,5,3
Species44,4,3,2,4,3,3,3,1
Species45,5,5,3,2,3,1,6,3
Species46,1,1,1,3,3,1,5,3
Species47,1,2,2,4,3,3,3,3
Species48,1,2,1,2,3,1,5,3
Species49,1,6,2,2,3,1,6,3
Species50,1,6,2,4,3,1,6,3
Species51,5,3,1,5,3,1,5,1
Species52,3,2,1,5,2,2,5,2
Species53,1,2,1,2,3,1,5,3
Species54,1,2,1,2,2,1,5,3
Species55,4,3,1,5,3,3,5,3
Species56,5,3,2,3,2,1,6,3
Species57,3,2,3,3,4,3,6,3
Species58,5,2,2,4,3,1,4,3
Species59,5,6,2,2,3,1,6,3
Species60,3,2,1,3,2,1,5,3
Species61,1,2,1,3,3,1,5,3
Species62,5,3,3,6,4,1,5,3
Species63,5,5,3,3,3,1,6,3
Species64,2,2,2,3,3,1,2,3
Species65,5,3,2,4,3,1,6,3
Species66,5,3,2,2,3,1,4,3
Species67,1,2,1,3,2,1,5,2
Species68,4,6,2,4,3,1,6,3
Species69,1,3,1,2,2,1,5,3
